iter	MultiClass
0	2.090285624
1	2.029254233
2	1.98346743
3	1.949088389
4	1.917399981
5	1.893921211
6	1.873131724
7	1.85236367
8	1.833146964
9	1.818192771
10	1.80603242
11	1.796166629
12	1.784897113
13	1.774985195
14	1.765537005
15	1.758711031
16	1.751854121
17	1.744855881
18	1.740926924
19	1.735498983
20	1.730042044
21	1.727419504
22	1.722990463
23	1.719062227
24	1.71625535
25	1.713270533
26	1.71034711
27	1.707225051
28	1.704473054
29	1.702107804
30	1.699874628
31	1.697833561
32	1.695923045
33	1.694464915
34	1.693332854
35	1.692213872
36	1.690207813
37	1.688551366
38	1.686598807
39	1.68490658
40	1.6833122
41	1.681891654
42	1.680307278
43	1.679213009
44	1.677530181
45	1.676355649
46	1.675075829
47	1.673744299
48	1.672751331
49	1.671914631
50	1.670664798
51	1.669596997
52	1.668760363
53	1.668186788
54	1.666923973
55	1.66609677
56	1.665073717
57	1.663665691
58	1.661593428
59	1.660554397
60	1.659322681
61	1.658340076
62	1.657665177
63	1.657081824
64	1.656377268
65	1.655815893
66	1.655257075
67	1.65425486
68	1.653391132
69	1.652511416
70	1.651405138
71	1.650603544
72	1.650148379
73	1.649116955
74	1.648440786
75	1.647858475
76	1.647055589
77	1.645992957
78	1.644926419
79	1.644446362
80	1.644031202
81	1.642986479
82	1.642405229
83	1.641978107
84	1.641566092
85	1.641067916
86	1.640768854
87	1.640280312
88	1.639839673
89	1.63942718
90	1.638809164
91	1.638227236
92	1.637734568
93	1.637416024
94	1.63652383
95	1.636251041
96	1.635655827
97	1.63526509
98	1.634944478
99	1.634423315
100	1.63397194
101	1.633545141
102	1.633042359
103	1.632756731
104	1.632306094
105	1.632081098
106	1.630989969
107	1.630520051
108	1.630189973
109	1.629470798
110	1.629080612
111	1.628290814
112	1.628008194
113	1.62738875
114	1.626945009
115	1.62668509
116	1.626363479
117	1.626119822
118	1.625502164
119	1.624929277
120	1.624549494
121	1.624286144
122	1.624049265
123	1.623767766
124	1.623250724
125	1.622871437
126	1.622500015
127	1.621964213
128	1.621688948
129	1.621208206
130	1.620851602
131	1.620432845
132	1.620172356
133	1.619883716
134	1.619398934
135	1.619141607
136	1.618699974
137	1.618413411
138	1.618171187
139	1.617920685
140	1.617718293
141	1.617326716
142	1.617075633
143	1.616656911
144	1.616379516
145	1.616104375
146	1.615867158
147	1.615544203
148	1.615351205
149	1.615075861
150	1.614641979
151	1.614375258
152	1.613891991
153	1.613550015
154	1.6132159
155	1.613044165
156	1.612733279
157	1.612557281
158	1.612340241
159	1.611970567
160	1.611623707
161	1.611199851
162	1.611004457
163	1.610833772
164	1.61060596
165	1.610251962
166	1.610018382
167	1.609802007
168	1.609586288
169	1.609405958
170	1.60919665
171	1.60898034
172	1.608681112
173	1.608544397
174	1.608351874
175	1.608107767
176	1.607904567
177	1.607701034
178	1.607403406
179	1.607231823
180	1.607045319
181	1.60655119
182	1.606368969
183	1.606038308
184	1.605880198
185	1.6057138
186	1.605544548
187	1.605289078
188	1.605109784
189	1.604875703
190	1.604643337
191	1.604381339
192	1.604224335
193	1.603998994
194	1.603862677
195	1.60364663
196	1.603507558
197	1.603342033
198	1.603129746
199	1.602900038
200	1.602757686
201	1.60232368
202	1.602149384
203	1.601945522
204	1.601733289
205	1.601462707
206	1.601242505
207	1.600901911
208	1.600729382
209	1.600532432
210	1.600346157
211	1.600193835
212	1.599951358
213	1.599788995
214	1.599618839
215	1.599268995
216	1.599136732
217	1.599020103
218	1.598877121
219	1.598658922
220	1.598333619
221	1.598219107
222	1.597851424
223	1.597671645
224	1.597444422
225	1.597273865
226	1.597103476
227	1.596776709
228	1.59660735
229	1.59651769
230	1.596214735
231	1.596039563
232	1.595932293
233	1.595792898
234	1.595608245
235	1.595462965
236	1.595226906
237	1.595030707
238	1.594841487
239	1.59460173
240	1.594445773
241	1.594276866
242	1.594085828
243	1.593899348
244	1.593605605
245	1.593472675
246	1.593369578
247	1.593210067
248	1.593042706
249	1.592797472
250	1.59269861
251	1.592607086
252	1.592467833
253	1.59234762
254	1.592225438
255	1.591907891
256	1.591772649
257	1.591548472
258	1.591392825
259	1.591254643
260	1.591084896
261	1.590892935
262	1.590752844
263	1.590611036
264	1.590381337
265	1.590265746
266	1.590144906
267	1.590031148
268	1.589945642
269	1.589791721
270	1.589656967
271	1.589481547
272	1.589268427
273	1.589152085
274	1.589042855
275	1.588929699
276	1.588778201
277	1.588447785
278	1.588348937
279	1.588259487
280	1.588125212
281	1.588020125
282	1.587746265
283	1.587627315
284	1.587499359
285	1.587301458
286	1.587173267
287	1.587066533
288	1.586951097
289	1.586807515
290	1.586602902
291	1.586453203
292	1.586141709
293	1.585975267
294	1.585860815
295	1.585717701
296	1.585624992
297	1.585506813
298	1.585276276
299	1.585179351
300	1.584997422
301	1.58477762
302	1.584663419
303	1.584480936
304	1.584420672
305	1.584221234
306	1.584062217
307	1.583908384
308	1.583778825
309	1.583632634
310	1.583496938
311	1.583376389
312	1.583204685
313	1.583087174
314	1.582924549
315	1.582829571
316	1.582738735
317	1.582591094
318	1.582509459
319	1.582394328
320	1.582245553
321	1.582167579
322	1.581986591
323	1.581921819
324	1.5818007
325	1.581655797
326	1.581533005
327	1.581452834
328	1.581338068
329	1.581212296
330	1.581098734
331	1.581010031
332	1.580855589
333	1.58071055
334	1.580571392
335	1.580476467
336	1.580380777
337	1.580322078
338	1.580184039
339	1.580069452
340	1.579982877
341	1.579878118
342	1.57978315
343	1.579689071
344	1.579552035
345	1.579421209
346	1.579204251
347	1.579046306
348	1.578939614
349	1.578849534
350	1.578713439
351	1.578592222
352	1.578514663
353	1.57842411
354	1.578324745
355	1.578190202
356	1.578077213
357	1.577995445
358	1.577886847
359	1.577798295
360	1.577700626
361	1.577579006
362	1.577463997
363	1.577378007
364	1.577244681
365	1.577111508
366	1.577002634
367	1.576928627
368	1.57682158
369	1.576731349
370	1.576640644
371	1.576535322
372	1.576344042
373	1.57623899
374	1.576144715
375	1.576021529
376	1.575947072
377	1.575870695
378	1.575765658
379	1.575662002
380	1.575549228
381	1.575457416
382	1.575360214
383	1.575181779
384	1.575026618
385	1.574930791
386	1.5748404
387	1.574730405
388	1.574637772
389	1.574528522
390	1.574419997
391	1.574304245
392	1.574242557
393	1.574156568
394	1.574054779
395	1.573984492
396	1.573917528
397	1.573780353
398	1.573693035
399	1.573586464
400	1.573493514
401	1.573428808
402	1.573285233
403	1.573218136
404	1.573122365
405	1.573049691
406	1.572889144
407	1.57280819
408	1.572716277
409	1.57263842
410	1.572480697
411	1.572347639
412	1.572278524
413	1.572152677
414	1.572017534
415	1.571915408
416	1.571835548
417	1.571757424
418	1.571711051
419	1.571640466
420	1.571470968
421	1.571409407
422	1.571320158
423	1.571239715
424	1.571169223
425	1.571054801
426	1.570997269
427	1.57090744
428	1.570818966
429	1.570712798
430	1.570646021
431	1.570575324
432	1.570492923
433	1.570293183
434	1.570169204
435	1.570038951
436	1.569951781
437	1.569882156
438	1.569759192
439	1.569647258
440	1.569564798
441	1.569442681
442	1.569369805
443	1.569267331
444	1.569169408
445	1.569102848
446	1.568977915
447	1.56890149
448	1.568819547
449	1.568750271
450	1.568669024
451	1.568495165
452	1.568427225
453	1.568347643
454	1.568276948
455	1.568170373
456	1.568052307
457	1.567912103
458	1.567833711
459	1.567763865
460	1.567687164
461	1.567626852
462	1.567507498
463	1.567439034
464	1.56734293
465	1.567269334
466	1.567147892
467	1.567078994
468	1.567021293
469	1.566930404
470	1.566853154
471	1.566778896
472	1.566558376
473	1.566507388
474	1.566449407
475	1.566337583
476	1.566262224
477	1.566200498
478	1.566115686
479	1.566019997
480	1.565936455
481	1.565876344
482	1.565805318
483	1.565767446
484	1.56568111
485	1.56559054
486	1.565504958
487	1.56542147
488	1.56528447
489	1.565149871
490	1.565067208
