iter	Passed	Remaining
0	1184	591079
1	2302	573214
2	3353	555629
3	4290	532022
4	5241	518894
5	6198	510320
6	7212	507936
7	8173	502675
8	9011	491604
9	10022	491094
10	11095	493252
11	12106	492311
12	13097	490663
13	14056	487975
14	15025	485821
15	15986	483598
16	16973	482259
17	17908	479554
18	18864	477560
19	19840	476169
20	20848	475535
21	22065	479429
22	23241	482015
23	24341	482777
24	25385	482323
25	26771	488062
26	27925	489221
27	28947	487970
28	30104	488943
29	31164	488246
30	32255	487996
31	33463	489402
32	34569	489212
33	35738	489833
34	36847	489550
35	37912	488652
36	38636	483475
37	39943	485630
38	41224	487289
39	42512	488894
40	43617	488300
41	44734	487814
42	45895	487769
43	47033	487435
44	48164	486993
45	49402	487585
46	50768	489326
47	52622	495528
48	54484	501482
49	55566	500102
50	56626	498537
51	57706	497162
52	58907	496827
53	60027	495786
54	61297	495954
55	62403	494769
56	63442	493068
57	64534	491796
58	65601	490340
59	66685	489028
60	67768	487712
61	68858	486450
62	69926	485044
63	70968	483469
64	72051	482193
65	73332	482218
66	74577	481974
67	75654	480627
68	76723	479244
69	77848	478210
70	79049	477636
71	80142	476403
72	81241	475209
73	82397	474343
74	83574	473591
75	84752	472831
76	85842	471576
77	86901	470159
78	87970	468803
79	89044	467481
80	90104	466097
81	91189	464842
82	92085	462647
83	93152	461329
84	94212	459979
85	95296	458750
86	96353	457404
87	97492	456443
88	98584	455261
89	99674	454074
90	100743	452793
91	101948	452121
92	103086	451142
93	104134	449770
94	105244	448675
95	106434	447913
96	107583	446971
97	108747	446084
98	110025	445658
99	111520	446083
100	112625	444925
101	113731	443777
102	114878	442784
103	115966	441565
104	117081	440449
105	118169	439232
106	119396	438530
107	120591	437702
108	121647	436369
109	122738	435162
110	123896	434196
111	124984	432980
112	126194	432189
113	127628	432147
114	128874	431449
115	130031	430448
116	131455	430321
117	132681	429529
118	133781	428327
119	134851	427029
120	135926	425752
121	137069	424691
122	138129	423373
123	139418	422753
124	140831	422495
125	141892	421174
126	142954	419859
127	144003	418510
128	145185	417549
129	146304	416404
130	147433	415289
131	148672	414479
132	149972	413833
133	151254	413126
134	152493	412298
135	153997	412169
136	155131	411042
137	156451	410402
138	158128	410679
139	159844	411029
140	160945	409782
141	162042	408528
142	163109	407204
143	164158	405836
144	165220	404505
145	166363	403373
146	167462	402139
147	168707	401251
148	169796	399991
149	170911	398793
150	172008	397556
151	173107	396324
152	174248	395190
153	175348	393965
154	176430	392699
155	177528	391473
156	178675	390355
157	179730	389037
158	180786	387725
159	181914	386567
160	183091	385515
161	184225	384371
162	185270	383043
163	186329	381748
164	187442	380565
165	188529	379330
166	189582	378029
167	190664	376789
168	191797	375649
169	193008	374663
170	194108	373460
171	195248	372334
172	196293	371027
173	197432	369901
174	198537	368712
175	199601	367447
176	200670	366195
177	201740	364945
178	202785	363653
179	203841	362385
180	204887	361100
181	205940	359829
182	206992	358560
183	208056	357314
184	209099	356034
185	210146	354764
186	211182	353477
187	212402	352497
188	213439	351215
189	214483	349947
190	215528	348681
191	216587	347441
192	217618	346160
193	218659	344896
194	219700	343634
195	220791	342451
196	221913	341319
197	223254	340518
198	224513	339591
199	225859	338789
200	226882	337502
201	228019	336385
202	229136	335239
203	230218	334041
204	231280	332818
205	232357	331616
206	233417	330392
207	234490	329189
208	235578	328006
209	236714	326891
210	237744	325631
211	238866	324498
212	239874	323211
213	240850	321884
214	242005	320797
215	243081	319606
216	244143	318399
217	245183	317164
218	246253	315969
219	247334	314788
220	248380	313566
221	249458	312385
222	250498	311157
223	251540	309933
224	252614	308750
225	253656	307530
226	254753	306376
227	255831	305202
228	256929	304052
229	258011	302882
230	259063	301679
231	260205	300582
232	261285	299412
233	262506	298404
234	263629	297284
235	264805	296222
236	266059	295247
237	267210	294156
238	268314	293012
239	269351	291797
240	270338	290529
241	271539	289492
242	272620	288326
243	273681	287141
244	274847	286065
245	275958	284932
246	277117	283849
247	278307	282796
248	279465	281709
249	280589	280589
250	281661	279417
251	282746	278257
252	283791	277061
253	284861	275889
254	285929	274716
255	286979	273526
256	288065	272372
257	289117	271187
258	290171	270005
259	291234	268831
260	292337	267696
261	293409	266532
262	294470	265359
263	295542	264197
264	296617	263037
265	297673	261863
266	298729	260688
267	299772	259504
268	300829	258333
269	302104	257348
270	303223	256229
271	304275	255054
272	305378	253922
273	306434	252752
274	307492	251584
275	308549	250416
276	309610	249253
277	310715	248125
278	311772	246959
279	312814	245782
280	313863	244612
281	314921	243450
282	315964	242276
283	317022	241115
284	318121	239986
285	319159	238811
286	320231	237662
287	321311	236520
288	322418	235398
289	323497	234256
290	324540	233089
291	325638	231961
292	326706	230813
293	327777	229667
294	328818	228500
295	329883	227351
296	330922	226185
297	331973	225029
298	333002	223857
299	334072	222715
300	335142	221572
301	336195	220419
302	337210	219242
303	338260	218089
304	339327	216946
305	340382	215798
306	341445	214654
307	342522	213520
308	343588	212379
309	344669	211248
310	345866	210189
311	347032	209109
312	348181	208018
313	349403	206971
314	350568	205889
315	351622	204742
316	352865	203704
317	353988	202597
318	355025	201441
319	356293	200414
320	357356	199273
321	358401	198122
322	359535	197021
323	360913	196051
324	362030	194939
325	363235	193873
326	364349	192759
327	365406	191615
328	366456	190468
329	367524	189330
330	368584	188189
331	369662	187057
332	370719	185916
333	371794	184784
334	372869	183652
335	373958	182527
336	375033	181396
337	376097	180259
338	377174	179130
339	378254	178002
340	379323	176869
341	380384	175733
342	381438	174594
343	382491	173455
344	383563	172325
345	384647	171201
346	385712	170069
347	386773	168935
348	387825	167798
349	388898	166670
350	389976	165545
351	391060	164423
352	392168	163310
353	393105	162128
354	394040	160946
355	395021	159784
356	396003	158623
357	396939	157445
358	397883	156271
359	398905	155129
360	399923	153987
361	400890	152825
362	401834	151656
363	402818	150503
364	403765	149337
365	404753	148188
366	405793	147058
367	406793	145915
368	407758	144759
369	408697	143596
370	409664	142443
371	410607	141284
372	411600	140142
373	412539	138983
374	413502	137834
375	414475	136688
376	415438	135541
377	416373	134384
378	417394	133257
379	418361	132114
380	419365	130983
381	420357	129848
382	421342	128712
383	422261	127558
384	423237	126421
385	424210	125284
386	425202	124154
387	426191	123024
388	427162	121889
389	428142	120758
390	429148	119634
391	430104	118498
392	431116	117377
393	432073	116243
394	433032	115109
395	434042	113990
396	435005	112860
397	435963	111729
398	436939	110603
399	437932	109483
400	438902	108357
401	439814	107218
402	440723	106079
403	441695	104957
404	442675	103837
405	443684	102725
406	444698	101614
407	445662	100492
408	446607	99367
409	447584	98250
410	448596	97141
411	449553	96021
412	450529	94905
413	451512	93792
414	452506	92682
415	453461	91564
416	454451	90454
417	455463	89349
418	456427	88235
419	457379	87119
420	458481	86033
421	459460	84923
422	460363	83801
423	461292	82684
424	462219	81568
425	463161	80455
426	464102	79343
427	465065	78235
428	466025	77127
429	467051	76031
430	468064	74933
431	469107	73841
432	470110	72742
433	471081	71639
434	472049	70536
435	473019	69434
436	473980	68331
437	475010	67238
438	475977	66138
439	476955	65039
440	477939	63942
441	478889	62840
442	479792	61734
443	480758	60636
444	481744	59541
445	482729	58447
446	483781	57361
447	484741	56264
448	485780	55177
449	486807	54089
450	487769	52994
451	488910	51919
452	490147	50854
453	491208	49770
454	492269	48685
455	493323	47601
456	494405	46519
457	495453	45434
458	496494	44349
459	497553	43265
460	498620	42182
461	499672	41098
462	500741	40016
463	501828	38934
464	502906	37853
465	503971	36770
466	505047	35688
467	506118	34606
468	507174	33523
469	508218	32439
470	509284	31357
471	510364	30275
472	511413	29192
473	512470	28110
474	513552	27029
475	514602	25946
476	515659	24864
477	516728	23782
478	517813	22701
479	518910	21621
480	519993	20540
481	521065	19458
482	522131	18377
483	523202	17295
484	524229	16213
485	525146	15127
486	526119	14044
487	527075	12960
488	527999	11877
489	528975	10795
490	529941	9713
491	530902	8632
492	531854	7551
493	532803	6471
494	533756	5391
495	534780	4312
496	535799	3234
497	536765	2155
498	537717	1077
499	538608	0
